,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
85,11 Herbert Street,Waterloo Wellington,For-Profit,No,Yes,No,Yes,Elmira, N3B2B8,17.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,chartwell elmira long term care residence,,0,,Inactive,Woolwich,3530035.0,48.0,43.60150562,-80.56368125
86,1925 Steeles Avenue East,Central,For-Profit,No,Yes,No,Yes,North York, M2H2H3,57.0,"(46.0, 172.0]",3.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,chartwell gibson long term care residence,31,9,10,Active,Toronto,3520005.0,202.0,43.80765981,-79.37379369
87,2000 Blackwater Road,South West,For-Profit,No,Yes,No,Yes,London, N5X4K6,43.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,chartwell london long term care residence,,,,,London,3539036.0,95.0,43.04406869,-81.26074922
88,250 Tain Street P.O. Box 129,South West,For-Profit,No,Yes,No,Yes,Parkhill, N0M2K0,21.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,chartwell parkhill long term care residence,,,,,North Middlesex,3539041.0,59.0,43.15701009,-81.68166257
89,8403 Islington Avenue North,Central West,For-Profit,Yes,Yes,Yes,Yes,Woodbridge, L4L1X3,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,chartwell pine grove long term care residence,0,0,<5,Active,Vaughan,3519028.0,96.0,43.797729,-79.58431476
90,1750 Division Road North,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Kingsville, N9Y4G7,72.0,"(46.0, 172.0]",3.0,40.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,chartwell royal oak long term care residence,,,,,Kingsville,3537013.0,160.0,42.0501946,-82.7375796
91,340 McCowan Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1J3P4,31.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,chartwell trilogy long term care residence,,,,,Toronto,3520005.0,197.0,43.73848531,-79.23864245
92,2140 Baronwood Drive,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Oakville, L6M4V6,42.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,chartwell waterford long term care residence,<5,0,<5,Active,Oakville,3524001.0,168.0,43.42715623,-79.76303438
93,2065 Leanne Boulevard,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5K2L6,27.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,chartwell wenleigh long term care residence,,,,,Mississauga,3521005.0,161.0,43.52485635,-79.65178876
94,495 The West Mall,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Etobicoke, M9C5S3,20.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,chartwell westbury long term care residence,61,20,23,Active,Toronto,3520005.0,187.0,43.64832328,-79.56767874
95,200 David Bergey Drive,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Kitchener, N2E3Y4,44.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,chartwell westmount long term care residence,<5,0,0,Active,Kitchener,3530013.0,160.0,43.40613299,-80.51775782
96,138 Dowling Avenue,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M6K3A6,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,chartwell white eagle long term care residence,26,11,9,Active,Toronto,3520005.0,56.0,43.63717128,-79.4392265
97,1217 Old Mohawk Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Ancaster, L9K1P6,24.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,chartwell willowgrove long term care residence,,,,,Hamilton,3525005.0,169.0,43.23324649,-79.93527582
98,380 Church Street,Central,For-Profit,Yes,No,Yes,Yes,Markham, L6B1E1,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,chartwell woodhaven long term care residence,0,0,<5,Active,Markham,3519036.0,192.0,43.88586653,-79.23093356
99,451 Woodmount Drive,Central East,For-Profit,No,Yes,Yes,Yes,Oshawa, L1G8E3,27.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,chartwell wynfield long term care residence,,,,,Oshawa,3518013.0,172.0,43.94673256,-78.87267965
100,2990 B Riverside Drive West,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9C1A2,16.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,chateau park long term care home,,,,,Windsor,3537039.0,59.0,42.30747117,-83.07313582
101,310 Oxford Street West,South West,For-Profit,Yes,Yes,Yes,Yes,London, N6H4N6,73.0,"(46.0, 172.0]",3.0,36.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,chelsey park,,0,,Inactive,London,3539036.0,247.0,42.98760838,-81.27670392
102,5935 Bathurst Street,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M2R1Y8,30.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,cheltenham care community,,,,,Toronto,3520005.0,170.0,43.7818402,-79.44446061
103,3555 Danforth Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M1L1E3,23.0,"(21.0, 31.0]",1.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,chester village,,,,,Toronto,3520005.0,203.0,43.6936488,-79.27484865
104,337 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Stoney Creek, L8G1E7,22.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,clarion nursing home,,0,,Inactive,Hamilton,3525005.0,100.0,43.22037979,-79.72817146
105,140 Cundles Road West,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Barrie, L4N9X8,19.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,coleman care centre,,,,,Barrie,3543042.0,112.0,44.4011191,-79.71536396
106,250 Campbell Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,No,Collingwood, L9Y4J9,23.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,13.0,"(11.0, 44.0]",3.0,collingwood nursing home,,,,,Collingwood,3543031.0,60.0,44.48264419,-80.22895893
107,650 Mountain Maple Avenue,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Waterloo, N2V2P7,44.0,"(31.0, 46.0]",2.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,columbia forest,,,,,Waterloo,3530016.0,156.0,43.4649426,-80.59136415
108,55 The Queensway West,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes,Mississauga, L5B1B5,65.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,cooksville care centre,40,6,17,Active,Mississauga,3521005.0,192.0,43.57334286,-79.60968605
109,66 Roncesvalles Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,No,Toronto, M6R3A7,24.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,copernicus lodge,0,0,<5,Active,Toronto,3520005.0,228.0,43.64020808,-79.447311
110,91 Tecumseh Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Chatham, N7M1B3,94.0,"(46.0, 172.0]",3.0,50.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,copper terrace,,,,,Chatham-Kent,3536020.0,138.0,42.39831463,-82.20038906
111,"R. R. #3, 317079 Hwy 6 & 10",South West,For-Profit,No,Yes,Yes,Yes,Chatsworth, N0H1G0,21.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,country lane long term care residence,,,,,Chatsworth,3542037.0,34.0,44.465706899999994,-80.9030782
112,10072 Oxbow Drive R.R. #3,South West,For-Profit,Yes,Yes,No,Yes,Komoka, N0L1R0,83.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,country terrace,,,,,Middlesex Centre,3539033.0,120.0,42.95867137,-81.43757387
113,440 County Road 8 R. R. #2,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Woodslee, N0R1V0,62.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,country village homes - woodslee,0,18,<5,Active,Kingsville,3537013.0,104.0,42.172411100000005,-82.72129740000001
114,221 Main Street R. R. #1,South West,Non-Profit,Yes,Yes,Yes,No,Ailsa Craig, N0M1A0,51.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,craigholme,,,,,North Middlesex,3539041.0,83.0,43.14535469,-81.53006982
115,102 Craiglee Drive,Central East,For-Profit,No,Yes,Yes,Yes,Scarborough, M1N2M7,65.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,craiglee nursing home,<5,<5,7,Active,Toronto,3520005.0,169.0,43.706865,-79.25329325
116,143 Mary Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Creemore, L0M1G0,26.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,creedan valley care community,,,,,Clearview,3543005.0,95.0,44.32664057,-80.09982767
117,5200 Corporate Drive,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Burlington, L7L7G7,30.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,creek way village,,,,,Burlington,3524002.0,144.0,43.39302822,-79.77985319
118,4 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Fort Erie, L2A5M5,26.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,crescent park lodge,,,,,Fort Erie,3526003.0,68.0,42.91044887,-78.92320857
119,106 Crown Street,South East,For-Profit,Yes,Yes,Yes,Yes,Trenton, K8V6R3,24.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,crown ridge place,,,,,Quinte West,3512015.0,116.0,44.10639945,-77.56149694
120,205 Cummer Avenue,Central,Municipal,Yes,Yes,Yes,Yes,North York, M2M2E8,50.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,cummer lodge,<5,<5,0,Active,Toronto,3520005.0,391.0,43.78816171,-79.4075617
121,710 Southdale Road East,South West,Municipal,Yes,Yes,Yes,Yes,London, N6E1R8,76.0,"(46.0, 172.0]",3.0,33.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,dearness home for senior citizens,,,,,London,3539036.0,243.0,42.94410837,-81.2242039
122,150 Central Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,No,Yes,Grimsby, L3M4Z3,14.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,deer park villa,,,,,Grimsby,3526065.0,39.0,43.189536499999996,-79.54142639
123,70 Humberline Drive,Central West,For-Profit,No,Yes,Yes,Yes,Etobicoke, M9W7H3,33.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,deerwood creek care community,,,,,Toronto,3520005.0,160.0,43.73160489,-79.61744587
124,750 Gibraltar Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,Delhi, N4B3B3,27.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,delhi long term care centre,,,,,Norfolk County,3528052.0,60.0,42.842040600000004,-80.4905752
125,54 Eby Street,Waterloo Wellington,For-Profit,No,Yes,No,No,St. Jacobs, N0B2N0,10.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,derbecker's heritage house,,,,,Woolwich,3530035.0,73.0,43.54089651,-80.54914374
126,52 Neilson Drive,Mississauga Halton,Non-Profit,No,Yes,No,No,Etobicoke, M9C1V7,10.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,dom lipa,,0,,Inactive,Toronto,3520005.0,66.0,43.62949697,-79.56513824
127,277 Plymouth Road,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,Welland, L3B6E3,32.0,"(31.0, 46.0]",2.0,10.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,douglas h. rapelje lodge,,0,,Inactive,Welland,3526032.0,120.0,42.97774267,-79.24618498
128,501 St George Street P.O. BOX 430,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Port Dover, N0A1N0,38.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,dover cliffs,,,,,Norfolk County,3528052.0,70.0,42.78788949,-80.20786437
129,3595 Keele Street,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M3J1M7,63.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,downsview long term care centre,35,23,71,Active,Toronto,3520005.0,252.0,43.7511842,-79.48559573
130,151 Centre Street,Central West,Municipal,No,Yes,Yes,No,Shelburne, L0N1S4,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,dufferin oaks,<5,<5,6,Active,Shelburne,3522021.0,160.0,44.07675832,-80.20035498
131,533 Clarence Street P.O. Box 970,Champlain,Non-Profit,No,Yes,Yes,Yes,Winchester, K0C2K0,40.0,"(31.0, 46.0]",2.0,26.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,dundas manor nursing home,,,,,North Dundas,3501030.0,98.0,45.08860351,-75.35556820000001
132,39 Mary Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Hamilton, L8R3L8,52.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,dundurn place care centre,6,<5,<5,Active,Hamilton,3525005.0,201.0,43.25642639,-79.86394320000001
133,38 Black Diamond Road P.O. Box 68,South East,For-Profit,Yes,Yes,No,Yes,Cannifton, K0K1K0,24.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,e. j. mcquigge lodge,,,,,Belleville,3512005.0,57.0,44.19803357,-77.39029009
134,329 Eagle Street,Central,For-Profit,No,Yes,Yes,Yes,Newmarket, L3Y1K3,13.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,eagle terrace,<5,<5,<5,Active,Newmarket,3519048.0,70.0,44.04894845,-79.46340434
135,"1390 Highbury Avenue, North",South West,For-Profit,No,Yes,Yes,Yes,London, N5Y0B6,90.0,"(46.0, 172.0]",3.0,83.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,earls court village,9,<5,8,Active,London,3539036.0,128.0,43.02686099,-81.21868721
136,62 Big Bend Avenue P.O. Box 400,North East,Municipal,No,Yes,Yes,No,Powassan, P0H1Z0,18.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,eastholme home for the aged,,,,,Powassan,3549060.0,128.0,46.078695700000004,-79.35888349999999
137,420 The East Mall,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Etobicoke, M9B3Z9,38.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,eatonville care centre,142,40,56,Active,Toronto,3520005.0,247.0,43.64760318,-79.56046144
138,5016 Wellington County Road 29 R. R. #2,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Guelph, N1H6H8,17.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,eden house nursing home,,,,,Guelph/Eramosa,3523009.0,59.0,43.58078794,-80.16785633
139,428 Broad Street West,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Dunnville, N1A1T3,21.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,edgewater gardens long term care centre,,,,,Haldimand County,3528018.0,64.0,42.90614674,-79.625957
140,40 Old Kingston Road,Central East,Non-Profit,No,Yes,Yes,No,Scarborough, M1E3J5,9.0,"(0.0, 21.0]",0.0,5.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,ehatare nursing home,,0,,Inactive,Toronto,3520005.0,32.0,43.77551412,-79.18320493
141,380 First Avenue North P.O. Box 7,South West,For-Profit,No,Yes,No,Yes,Chesley, N0G1L0,33.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,elgin abbey nursing home,,,,,Arran-Elderslie,3541043.0,27.0,44.31058562,-81.09967099
142,39262 Fingal Line R. R. #1,South West,Municipal,Yes,Yes,Yes,No,St. Thomas, N5P3S5,34.0,"(31.0, 46.0]",2.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,elgin manor,,,,,Southwold,3534024.0,90.0,42.76901044,-81.23754879
143,182 Yorkland Street,Central,For-Profit,Yes,Yes,Yes,Yes,Richmond Hill, L4S2M9,25.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,elginwood,,,,,Richmond Hill,3519038.0,124.0,43.90172983,-79.44169122
144,201-11th Street East,Champlain,For-Profit,No,Yes,Yes,Yes,Cornwall, K6H2Y6,39.0,"(31.0, 46.0]",2.0,24.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,heartwood (fka versa-care cornwall),,,,,,,118.0,45.033436,-74.731739
145,2100 Main Street,North East,For-Profit,Yes,Yes,Yes,Yes,Val Caron, P3N1S7,51.0,"(46.0, 172.0]",3.0,29.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,elizabeth centre,,,,,Greater Sudbury / Grand Sudbury,3553005.0,128.0,46.6119611,-81.02674901
146,35 Elm Grove Avenue,Toronto Central,For-Profit,No,Yes,No,Yes,Toronto, M6K2J2,14.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,elm grove living centre,44,17,43,Active,Toronto,3520005.0,126.0,43.64031588,-79.4307008
147,46 Elmwood Place West,South West,For-Profit,No,Yes,Yes,Yes,London, N6J1J2,49.0,"(46.0, 172.0]",3.0,19.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,elmwood place,<5,0,<5,Active,London,3539036.0,90.0,42.96948268,-81.26521352
148,170 Front Street P. O. Box 390,North West,Non-Profit,No,Yes,No,Yes,Emo, P0W1E0,9.0,"(0.0, 21.0]",0.0,5.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,emo health centre,,,,,Emo,3559019.0,12.0,48.631491,-93.842073
149,2132 Dundas Street West,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5K2K7,35.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,erin mills lodge nursing home,29,16,22,Active,Mississauga,3521005.0,86.0,43.53474615,-79.66736096
150,67 Bruce Street P.O. Box 7069,South West,For-Profit,Yes,Yes,Yes,Yes,Thornbury, N0H2P0,30.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,errinrung long term care home,,,,,The Blue Mountains,3542045.0,60.0,44.55940799,-80.45518861
151,825  Mckinnon Drive,North East,Non-Profit,No,Yes,Yes,Yes,Espanola, P5E1R4,10.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,espanola general hospital (operating as espanola nursing home-eldcap),,,,,Espanola,3552026.0,30.0,46.2482946,-81.78317101
152,825 Mckinnon Drive,North East,Non-Profit,No,Yes,Yes,Yes,Espanola, P5E1R4,16.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,espanola general hospital (operating as espanola nursing home-ltc),,,,,Espanola,3552026.0,32.0,46.2484521,-81.7808318
153,155 John Street East,South West,For-Profit,Yes,Yes,No,Yes,Exeter, N0M1S1,18.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,exeter villa,0,0,<5,Active,South Huron,3540005.0,47.0,43.34653763,-81.47441712
154,550 Cummer Avenue,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M2K2M2,34.0,"(31.0, 46.0]",2.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,extendicare bayview,60,8,13,Active,Toronto,3520005.0,205.0,43.79341251,-79.3906724
155,7891 Mclaughlin Road,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6Y5H8,26.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,extendicare brampton,13,<5,<5,Active,Brampton,3521010.0,150.0,43.65536347,-79.7356338
156,130 New Densmore Road,Central East,For-Profit,No,Yes,Yes,Yes,Cobourg, K9A5W2,42.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,extendicare cobourg,,,,,Cobourg,3514021.0,69.0,43.9837753,-78.17209322
157,281 Falconbridge Road,North East,For-Profit,Yes,Yes,Yes,Yes,Sudbury, P3A5K4,67.0,"(46.0, 172.0]",3.0,40.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,extendicare falconbridge,,,,,Greater Sudbury / Grand Sudbury,3553005.0,234.0,46.50713379,-80.93753367
158,60 Guildwood Parkway,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1E1N9,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,extendicare guildwood,36,7,12,Active,Toronto,3520005.0,169.0,43.74686311,-79.20313123
159,167 Park Street P.O. Box 780,Central East,For-Profit,No,Yes,Yes,Yes,Haliburton, K0M1S0,20.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,extendicare haliburton,,,,,Dysart et al,3546024.0,60.0,45.051712,-78.502471
160,9 Lindsay Court,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Georgetown, L7G6G9,45.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,extendicare halton hills,,,,,Halton Hills,3524015.0,130.0,43.64922616,-79.94812796
161,90 Chedmac Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L9C7S6,42.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,extendicare hamilton,,,,,Hamilton,3525005.0,160.0,43.23730029,-79.92136612
162,45 Ontario Street P.O. Box 460,North East,For-Profit,Yes,Yes,Yes,Yes,Kapuskasing, P5N2Y5,27.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,extendicare kapuskasing,,,,,Kapuskasing,3556066.0,61.0,49.41769224,-82.41017831
163,125 Colborne Street East,Central East,For-Profit,No,Yes,No,Yes,Lindsay, K0L2V0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,extendicare kawartha lakes,,,,,Kawartha Lakes,3516010.0,64.0,44.36383334,-78.72369584
164,309 Queen Mary Road,South East,For-Profit,No,Yes,Yes,Yes,Kingston, K7M6P4,28.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,extendicare kingston,,,,,Kingston,3510010.0,150.0,44.23934601,-76.53531092
165,155 Government Road East,North East,For-Profit,Yes,Yes,Yes,Yes,Kirkland Lake, P2N3P4,22.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,extendicare kirkland lake,,,,,Kirkland Lake,3554068.0,100.0,48.15597609,-80.02268375
166,19 Fraser Street,Central East,For-Profit,Yes,Yes,Yes,Yes,Lakefield, K0L2H0,19.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,extendicare lakefield,,0,,Inactive,Selwyn,3515015.0,100.0,44.42419477,-78.28153509999999
167,1715 Montreal Road,Champlain,For-Profit,No,Yes,Yes,Yes,Gloucester, K1J6N4,85.0,"(46.0, 172.0]",3.0,52.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,extendicare laurier manor,10,22,33,Active,Ottawa,3506008.0,242.0,45.44640676,-75.61084101
168,860 Waterloo Street,South West,For-Profit,Yes,Yes,Yes,Yes,London, N6A3W6,61.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,extendicare london,,,,,London,3539036.0,170.0,43.00042548,-81.24860602
169,650 Northern Avenue,North East,For-Profit,No,Yes,Yes,Yes,Sault Ste. Marie, P6B4J3,46.0,"(31.0, 46.0]",2.0,39.0,"(23.0, 86.0]",3.0,24.0,"(11.0, 44.0]",3.0,extendicare maple view of sault ste. marie,<5,0,0,Active,Sault Ste. Marie,3557061.0,256.0,46.5350635,-84.30335325
170,1865 Baseline Road,Champlain,For-Profit,No,Yes,No,Yes,Ottawa, K2C3K6,63.0,"(46.0, 172.0]",3.0,37.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,extendicare medex,,,,,Ottawa,3506008.0,193.0,45.35435184,-75.75821985
